Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;
110001505000001;1;497;491;126;147;119;56;5;7;6;3;11;0;2;0;1;1;5;2;0;0;6;3;1;1;0;0;0;0;0;1;0;0;0;0;7;8;12;8;2;4;8;11;9;8;5;11;15;7;11;9;7;13;12;11;14;9;10;7;8;10;8;8;13;4;7;6;13;15;9;4;14;4;5;11;8;6;7;7;5;6;4;2;1;3;6;7;4;5;6;3;0;2;3;7;3;2;6;1;3;3;4;4;2;3;0;2;1;1;2;2;0;2;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000002;1;435;435;105;133;97;59;7;0;4;1;19;0;3;0;5;1;0;0;1;0;0;6;1;1;0;0;2;1;0;0;1;0;0;0;7;2;2;4;9;7;4;10;5;13;6;4;6;11;9;8;12;14;7;10;10;10;5;4;14;2;10;9;5;5;10;5;7;10;7;11;3;10;8;7;6;2;9;10;4;4;5;3;3;8;5;8;4;3;4;5;6;5;1;1;1;2;3;0;2;1;0;4;3;3;0;2;2;1;1;1;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
110001505000003;1;333;333;110;73;69;55;0;0;6;2;12;0;2;0;3;0;0;1;0;0;0;7;1;1;0;0;1;1;0;1;0;2;0;0;6;4;4;6;4;8;4;5;2;6;8;6;5;1;9;8;9;8;8;4;6;4;8;7;5;4;6;7;5;9;7;9;6;6;8;6;5;4;5;3;7;6;2;0;7;3;2;4;3;3;1;3;2;2;1;3;2;0;3;3;2;1;3;6;1;1;3;1;0;0;0;1;2;3;1;2;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
110001505000004;1;125;125;27;45;28;9;2;1;1;0;5;0;1;0;3;0;3;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;6;1;1;4;0;2;1;2;0;1;1;1;3;2;6;1;4;0;2;5;3;2;1;0;4;2;1;2;2;2;2;2;2;2;1;6;1;0;5;4;1;1;1;2;1;0;2;2;4;1;4;1;2;2;0;0;0;0;1;2;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000005;1;585;585;133;170;125;80;27;4;13;0;25;1;1;0;6;0;0;0;0;0;0;4;0;0;1;0;0;2;0;0;0;1;0;0;11;11;18;18;15;11;17;17;11;9;13;10;7;9;17;14;13;7;14;11;10;14;11;16;10;10;6;10;12;9;6;11;8;4;9;7;7;5;10;7;8;5;5;13;6;5;7;6;5;2;2;2;2;3;5;5;0;11;4;3;2;3;5;3;3;4;3;2;1;0;3;3;2;2;3;1;0;0;3;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
110001505000006;1;416;414;86;142;87;49;8;5;10;0;22;0;3;0;4;0;0;0;0;0;0;6;0;0;1;0;0;1;0;2;0;1;0;1;7;9;9;3;6;4;14;5;7;8;3;8;5;11;12;10;6;15;11;7;9;8;9;8;4;12;5;9;5;2;9;4;2;5;6;5;8;8;6;9;4;5;4;9;6;5;4;8;5;3;3;6;1;1;4;7;2;3;4;1;1;5;0;1;2;2;2;3;1;3;1;2;1;0;1;1;2;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000007;1;389;389;65;144;89;29;13;6;9;1;25;1;1;0;6;0;0;0;0;0;0;3;0;0;0;0;0;1;1;1;0;0;0;0;7;10;5;6;3;4;5;8;9;13;7;6;8;10;6;7;5;9;8;11;7;4;8;5;5;10;7;9;10;5;6;6;7;5;7;6;7;2;5;6;2;3;9;6;3;8;3;3;2;4;5;4;6;3;4;3;0;2;3;1;3;4;7;0;2;3;2;3;3;2;0;0;0;2;1;1;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000008;1;219;218;42;76;56;19;6;3;0;0;5;0;1;0;6;3;0;2;0;0;0;5;0;0;1;0;0;1;0;1;0;1;0;1;3;3;6;5;3;4;4;2;4;9;4;1;5;2;4;3;7;9;3;1;5;4;6;5;2;4;5;9;3;4;4;5;3;3;2;5;4;0;3;0;2;2;0;4;3;3;2;3;3;3;0;1;1;3;0;2;1;0;2;2;0;0;4;2;0;1;1;0;1;2;0;0;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000009;1;395;392;66;141;100;42;3;3;4;1;12;0;9;1;8;1;1;0;0;0;3;4;0;0;0;2;0;0;0;0;0;1;0;1;8;4;5;8;5;6;9;7;4;7;6;14;5;9;7;16;5;1;11;13;6;7;6;7;4;6;5;9;14;4;7;6;12;7;4;9;5;5;7;9;3;8;6;0;10;5;6;3;7;5;2;4;4;4;1;3;1;2;1;2;4;1;3;0;0;3;2;0;1;1;3;0;2;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110001505000010;1;54;54;8;19;11;9;3;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;3;0;1;3;3;1;0;0;1;2;0;1;0;0;1;1;2;0;3;1;0;1;1;2;0;0;2;1;1;0;1;1;3;2;1;0;0;1;0;0;0;1;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
