Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Tipo_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;
110001505000013;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015003;"Cidade Alta";1;0;382;1170;3,06;2,05;1051,52;1959555,88;1131,5;2018266,27;600,75;1021530,31;945,11;1282045,05
110001505000014;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015002;"Liberdade";1;0;285;861;3,02;2,12;1423,64;89492968,25;1811,32;113267733,98;889,19;35329126,77;1304,5;51320304,88
110001505000015;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015002;"Liberdade";1;0;68;204;3;1,64;1124,41;3180893,68;1274,33;3417913,11;721,77;1548876,06;1058,6;1918197,22
110001505000016;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015001;"Centro";1;0;168;477;2,84;1,91;1236,51;1267562,83;1375,72;1218429,02;836,17;1067143,57;1217,53;1089604,8
110001505000017;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015001;"Centro";1;0;232;703;3,03;2,3;999,13;2031212,3;1147,51;2163256,57;620,6;1086561,81;983,57;1365774,57
110001505000018;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015001;"Centro";1;0;246;763;3,1;2,21;1386,99;2426361,06;1483,47;2452128,8;786,14;1484489,45;1225,85;1776489,34
110001505000019;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015000;"ALTA FLORESTA D'OESTE (demais setores)";4;0;156;511;3,28;1,93;683,53;1036182,33;795,75;1117608,65;442,51;520417,1;696,99;642781,63
110001505000020;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015000;"ALTA FLORESTA D'OESTE (demais setores)";8;0;126;451;3,58;2,17;705,32;408731,9;753,14;400358,03;339,09;274604,19;685,55;317897,91
110001505000021;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015000;"ALTA FLORESTA D'OESTE (demais setores)";8;0;31;97;3,13;2,05;846,13;291164,52;846,13;291164,52;355,75;266931,7;773,75;256895,83
110001505000022;1;"Região Norte";11;"Rondônia";1102;"Leste Rondoniense";11006;"Cacoal";00;"Municípios não pertencentes a estrutura de RM";1100015;"ALTA FLORESTA D'OESTE";110001505;"ALTA FLORESTA D'OESTE";11000150500;"ALTA FLORESTA D'OESTE";1100015000;"ALTA FLORESTA D'OESTE (demais setores)";8;0;188;659;3,51;2,4;919,92;1140883,01;939,92;1146920,89;462,45;740013,04;828,14;1023224,28
